Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,AFG,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4
Angola,AGO,2.8,4.7,7.7,13,21.4,22,23.2,26,29,32.4,36
Albania,ALB,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.24
United Arab Emirates,ARE,68,78,84.9999915,88,90.4,90.5,90.60000732,94.81992254,98.45000178,99.14999998,100
Argentina,ARG,45,51,55.8,59.9,64.7,68.04306411,70.96898082,74.29490687,77.7,79.9,85.5
Armenia,ARM,25,32,37.5,41.9,54.62280586,59.10083377,64.34602977,64.74488433,68.24505226,66.54394969,76.51
Australia,AUS,76,79.48769771,79,83.45349717,84,84.56051491,86.54,86.54504885,87.6,88.6,89.6
Austria,AUT,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.47913723,87.75220479,87.52942813
Azerbaijan,AZE,46,50,54.2,73.00000137,75.00001564,77,78.2,79,79.79999549,81.09999907,84.59999573
Burundi,BDI,1,1.11,1.219999945,1.264218111,1.4,2,2.2,2.660748535,4.1,6.2,9.4
Belgium,BEL,75,81.609996,80.71999055,82.1702,85,85.05294175,86.51647666,87.67968082,88.647343,90.27542981,91.52641629
Benin,BEN,3.13,4.148323066,4.5,4.9,6,11.25498791,14.5,18.7,19,22.4,25.8
Burkina Faso,BFA,2.4,3,3.725034916,5,6,8,12,16.8,17.4,18,22
Bangladesh,BGD,3.7,4.5,5,6.63,11.9,12.9,18.1,19.8,21.8,23.8,24.8
Bulgaria,BGR,46.23,47.97999305,51.89998767,53.0615,55.49,56.65625161,59.82554766,63.41010138,64.78201069,67.94698094,70.16
Bahrain,BHR,55,76.9999665,88,90.0000397,90.50313348,93.4783008,97.9999807,95.87813575,98.64467258,99.70149256,99.67
"Bahamas, The",BHS,43,65,71.74820281,72,76.92,78,80,80.6,83,85,87
Bosnia and Herzegovina,BIH,42.75,43.88768653,45.06450043,48.52131417,49.91773243,52.6,60.25653543,64.89202051,70.12013504,69.94634763,73.21
Belarus,BLR,31.8,39.64889566,46.91,54.17,59.02,62.23036091,71.11304576,74.43644541,79.12988669,82.78915209,85.09
Belize,BLZ,28.2,30.7,31,33.6,38.7,41.59,44.57574032,47.0826258,49.8,50.8,51.03
Bolivia,BOL,22.4,30,35.34,36.99,34.6,37.49,39.6975146,43.83227607,44.2861422,47.47481911,59.94010155
Brazil,BRA,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,67.47128452,70.43428254,73.91244005,81.34269353
Brunei Darussalam,BRN,53,56,60.27306504,64.5,68.77,71.2,90,94.86669164,95,95,95
Bhutan,BTN,13.6,14.4,15.6,22.4,30.3,39.8,41.77264453,46.2,49.5,53.5,53.5
Botswana,BWA,6,9,16,30,36.74474744,37.31205037,39.36299738,41.41379464,58,61,64
Central African Republic,CAF,2,2.2,2.4,2.5,2.7,2.9,3.1,4,5.1,8.3,10.4
Canada,CAN,80.3,83,83,85.8,87.12,90,91.16,92.70137191,94.64,96.5,96.97
Switzerland,CHE,83.9,85.19302818,85.2,86.34,87.4,87.4790556,89.13468774,89.68614767,91.8,93.14608695,94.2
Chile,CHL,45,52.24960729,55.05,58,61.11,76.62959195,83.55858602,82.32748693,84.9,86.1,88.3
China,CHN,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,54.3,59.2,64.10983774,70.40477542
Cote d'Ivoire,CIV,2.7,2.9,4.4,6.6,10,16.7,25.3,34.8,37.54653613,36.28895457,38.8
Cameroon,CMR,4.3,5,7.5,10,16.21487223,18.3,20.6,23.20297197,29.7,33.5,37.8
"Congo, Dem. Rep.",COD,0.72,1.2,1.679961015,2.2,3,3.799999507,6.20997406,8.619904916,11.7,12.5,13.6
Colombia,COL,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357,62.25988032,64.12637682,65.00690072,69.79
